,Unnamed: 0_ctx,names,scores_ctx,logfoldchanges_ctx,pvals_ctx,pvals_adj_ctx,subclass_ctx,group_ctx,Unnamed: 0_new,scores_new,logfoldchanges_new,pvals_new,pvals_adj_new,subclass_new,group_new
28,2389075,Sytl2,-2.7208211,-0.96821684,0.0065119983139458,1.0,L5 IT CTX,Satb2,709511,-0.6776272,-0.48121142,0.4980080836790601,1.0,L5 IT,Satb2
29,2389074,Spock1,-2.7167578,-0.31058687,0.006592483143115,1.0,L5 IT CTX,Satb2,678874,1.2285603,0.16684091,0.2192367191756331,1.0,L5 IT,Satb2
30,2356833,Epha10,3.1190298,0.9677461,0.0018144764455956,1.0,L5 IT CTX,Satb2,677995,3.5666275,0.7867327,0.0003616050723997,0.9908245978337772,L5 IT,Satb2
31,2356832,Lrrc7,3.1230931,0.26880062,0.0017896113201146,1.0,L5 IT CTX,Satb2,678043,2.7907367,0.22521631,0.0052588237998217,1.0,L5 IT,Satb2
32,2356831,Nos1ap,3.1287818,0.5563417,0.0017553261112636,1.0,L5 IT CTX,Satb2,678056,2.7083766,0.44144005,0.00676132559287,1.0,L5 IT,Satb2
33,2356830,Map1b,3.1523492,0.4868502,0.0016196243474596,1.0,L5 IT CTX,Satb2,706885,-0.1730717,-0.01803784,0.8625950728618712,1.0,L5 IT,Satb2
34,2356829,Dlgap1,3.16779,0.45532426,0.0015360244089028,1.0,L5 IT CTX,Satb2,677988,3.9776282,0.3585319,6.96060848394574e-05,0.5618081122604706,L5 IT,Satb2
35,2356828,Cnr1,3.1783547,0.85758376,0.0014811343637476,1.0,L5 IT CTX,Satb2,679267,1.0255475,0.21214403,0.3051049122438591,1.0,L5 IT,Satb2
36,2356827,Alms1,3.1832306,1.1506622,0.0014564151239365,1.0,L5 IT CTX,Satb2,684387,0.15432522,-0.21576986,0.8773533101510324,1.0,L5 IT,Satb2
37,2356826,Nrxn3,3.2206135,0.39211792,0.0012791650040005,1.0,L5 IT CTX,Satb2,678717,1.338818,0.15188152,0.1806299434609557,1.0,L5 IT,Satb2
38,2356825,St6galnac5,3.222239,0.64081705,0.0012719303016819,1.0,L5 IT CTX,Satb2,678012,3.135725,0.5112132,0.0017142983365784,1.0,L5 IT,Satb2
39,2356824,Dock9,3.246619,0.8122449,0.0011678460355448,1.0,L5 IT CTX,Satb2,678812,1.2697847,0.19369146,0.2041613180095591,1.0,L5 IT,Satb2
