,Unnamed: 0,names,scores,logfoldchanges,pvals,pvals_adj,subclass,group
4197024,4197024,Hs3st4,-9.707348,-0.4639071,2.8054263541694573e-22,1.8114637968872181e-19,L6 CT CTX,Tbr1
4197023,4197023,St6gal2,-9.605002,-1.2173024,7.615646731174306e-22,4.821003033646324e-19,L6 CT CTX,Tbr1
4164789,4164789,Grid1,9.497682,0.78779775,2.1461565934780208e-21,1.3324743388545752e-18,L6 CT CTX,Tbr1
4164790,4164790,Gm49678,9.469094,1.7174815,2.8228118818518878e-21,1.7195185208601546e-18,L6 CT CTX,Tbr1
4197022,4197022,Ryr2,-9.392966,-0.46097606,5.833360170431304e-21,3.4875932055995306e-18,L6 CT CTX,Tbr1
4164791,4164791,Ncam1,9.344005,0.60201246,9.275742138068847e-21,5.4448606350464144e-18,L6 CT CTX,Tbr1
4197021,4197021,Srrm4,-9.261718,-1.0289478,2.0116889745605903e-20,1.1597746168515829e-17,L6 CT CTX,Tbr1
4164792,4164792,Grin2b,9.200674,0.34131482,3.5571167618824936e-20,2.0147634150416892e-17,L6 CT CTX,Tbr1
4197020,4197020,Mast4,-9.179747,-0.57138604,4.321062058308452e-20,2.4052670440084207e-17,L6 CT CTX,Tbr1
4197019,4197019,Igsf9b,-9.114043,-1.0009652,7.936745899231076e-20,4.3430142602826315e-17,L6 CT CTX,Tbr1
4164793,4164793,Grin2a,9.074558,0.37270066,1.1413945267553974e-19,6.141653716049668e-17,L6 CT CTX,Tbr1
4164794,4164794,Grik2,8.993377,0.5192377,2.3974848203884005e-19,1.268898318462943e-16,L6 CT CTX,Tbr1
4164795,4164795,Cacna2d3,8.943546,2.5513933,3.768763568665698e-19,1.962492448618904e-16,L6 CT CTX,Tbr1
4197018,4197018,Plcb4,-8.917724,-0.98866075,4.75971883316712e-19,2.4391670242666737e-16,L6 CT CTX,Tbr1
4164796,4164796,Tmem178b,8.863787,0.9517709,7.734175248045177e-19,3.90152887317404e-16,L6 CT CTX,Tbr1
4197017,4197017,Spon1,-8.722667,-2.2277384,2.717254479526005e-18,1.3496393980230318e-15,L6 CT CTX,Tbr1
4164797,4164797,Ptprd,8.712559,0.20805211,2.9709215763663787e-18,1.45327580443922e-15,L6 CT CTX,Tbr1
4164798,4164798,Cntn5,8.7052145,0.7883868,3.1697564431380677e-18,1.5273968174136192e-15,L6 CT CTX,Tbr1
4197016,4197016,Ptk2,-8.668651,-0.4937905,4.37270364906284e-18,2.076069666323438e-15,L6 CT CTX,Tbr1
4197015,4197015,Nptx1,-8.6050005,-1.0478781,7.631620929454985e-18,3.5708243725718e-15,L6 CT CTX,Tbr1
4164800,4164800,Kcnab1,8.598446,2.4049923,8.080253523840799e-18,3.6306937568174716e-15,L6 CT CTX,Tbr1
4164799,4164799,Gpm6b,8.598525,0.55356836,8.074696413177334e-18,3.6306937568174716e-15,L6 CT CTX,Tbr1
4197014,4197014,Mctp1,-8.598209,-0.5624492,8.096947514042374e-18,3.6306937568174716e-15,L6 CT CTX,Tbr1
4197013,4197013,Mdga2,-8.591023,-0.35265398,8.619831352002755e-18,3.8122089753343696e-15,L6 CT CTX,Tbr1
4164801,4164801,Cemip,8.549801,1.2709805,1.2330136661041655e-17,5.3794386770504025e-15,L6 CT CTX,Tbr1
4164802,4164802,Gap43,8.516159,1.064238,1.6493203751632838e-17,7.099774441619549e-15,L6 CT CTX,Tbr1
4164803,4164803,Grm5,8.478412,0.61451906,2.2828947943181996e-17,9.697797162442507e-15,L6 CT CTX,Tbr1
