step,wall_time,metric_name,value
0,1758584827.0736578,hp_metric,-1.0
0,1758584827.1026278,_hparams_/experiment,0.0
0,1758584827.1026654,_hparams_/session_start_info,0.0
0,1758584827.1026752,_hparams_/session_end_info,0.0
0,1758584827.7600725,lr-Adam,6.721069075865671e-05
0,1758584827.7602937,lr-Adam-momentum,0.8999999761581421
9,1758584828.6030428,train_loss,0.17431259155273438
9,1758584828.603136,epoch,0.0
19,1758584829.2203224,train_loss,0.09244457632303238
19,1758584829.2203803,epoch,0.0
29,1758584829.8305912,train_loss,0.07366641610860825
29,1758584829.8306472,epoch,0.0
39,1758584830.4649248,train_loss,0.06885654479265213
39,1758584830.4649754,epoch,0.0
49,1758584831.0980065,train_loss,0.07188338786363602
49,1758584831.0980594,epoch,0.0
59,1758584831.712757,train_loss,0.06820233166217804
59,1758584831.712858,epoch,0.0
69,1758584832.3250759,train_loss,0.07119853794574738
69,1758584832.325129,epoch,0.0
79,1758584832.9353356,train_loss,0.06593018025159836
79,1758584832.935392,epoch,0.0
89,1758584833.5684757,train_loss,0.06775414943695068
89,1758584833.568514,epoch,0.0
99,1758584834.178729,train_loss,0.06800421327352524
99,1758584834.1787872,epoch,0.0
109,1758584834.7914026,train_loss,0.06308791041374207
109,1758584834.7914565,epoch,0.0
119,1758584835.413102,train_loss,0.06572728604078293
119,1758584835.413155,epoch,0.0
129,1758584836.04542,train_loss,0.06189745292067528
129,1758584836.045481,epoch,0.0
139,1758584836.658258,train_loss,0.06371093541383743
139,1758584836.6583126,epoch,0.0
149,1758584837.2697124,train_loss,0.06649576127529144
149,1758584837.269769,epoch,0.0
159,1758584837.8819506,train_loss,0.06686335802078247
159,1758584837.882005,epoch,0.0
169,1758584838.5178516,train_loss,0.06413695961236954
169,1758584838.5179043,epoch,0.0
179,1758584839.129952,train_loss,0.0591125451028347
179,1758584839.1300223,epoch,0.0
189,1758584839.745535,train_loss,0.06072142720222473
189,1758584839.7456107,epoch,0.0
199,1758584840.3668132,train_loss,0.05745207890868187
199,1758584840.3668833,epoch,0.0
209,1758584841.0007856,train_loss,0.057374194264411926
209,1758584841.0008464,epoch,0.0
219,1758584841.6132553,train_loss,0.05344928056001663
219,1758584841.613294,epoch,0.0
229,1758584842.2243724,train_loss,0.05752333626151085
229,1758584842.224426,epoch,0.0
239,1758584842.843169,train_loss,0.05991309508681297
239,1758584842.8432214,epoch,0.0
249,1758584843.478493,train_loss,0.05797552317380905
249,1758584843.4785535,epoch,0.0
259,1758584844.0838213,train_loss,0.058462727814912796
259,1758584844.0838912,epoch,0.0
0,1758584844.8731165,val_loss_step,0.05793943256139755
1,1758584844.900793,val_loss_step,0.06026843190193176
2,1758584844.9211087,val_loss_step,0.06371188908815384
3,1758584844.9410908,val_loss_step,0.05993596091866493
4,1758584844.96104,val_loss_step,0.060820844024419785
5,1758584844.9811106,val_loss_step,0.06418661773204803
6,1758584845.00471,val_loss_step,0.0614677257835865
7,1758584845.0268466,val_loss_step,0.06385727226734161
8,1758584845.053979,val_loss_step,0.05907099321484566
9,1758584845.078399,val_loss_step,0.06426723301410675
10,1758584845.0985398,val_loss_step,0.05412982031702995
11,1758584845.1186366,val_loss_step,0.05279003083705902
12,1758584845.1396291,val_loss_step,0.05263230577111244
13,1758584845.1593134,val_loss_step,0.049732938408851624
14,1758584845.180821,val_loss_step,0.04970657080411911
15,1758584845.2068124,val_loss_step,0.05386626720428467
16,1758584845.2341647,val_loss_step,0.05821339040994644
17,1758584845.2591743,val_loss_step,0.0567910298705101
18,1758584845.27902,val_loss_step,0.058922648429870605
19,1758584845.2989807,val_loss_step,0.05380880460143089
20,1758584845.3186507,val_loss_step,0.05400858074426651
21,1758584845.3382654,val_loss_step,0.056808795779943466
22,1758584845.3593843,val_loss_step,0.055998679250478745
23,1758584845.3866615,val_loss_step,0.05823551490902901
24,1758584845.4115293,val_loss_step,0.05287661775946617
25,1758584845.4358578,val_loss_step,0.060138482600450516
26,1758584845.4557593,val_loss_step,0.05113347992300987
27,1758584845.475286,val_loss_step,0.05439705029129982
28,1758584845.4953272,val_loss_step,0.05380673706531525
29,1758584845.5150914,val_loss_step,0.06092381104826927
30,1758584845.5367596,val_loss_step,0.05147171393036842
31,1758584845.5659606,val_loss_step,0.0576360784471035
32,1758584845.5906873,val_loss_step,0.05837661027908325
33,1758584845.61538,val_loss_step,0.054112665355205536
34,1758584845.6358407,val_loss_step,0.05229518562555313
35,1758584845.6563897,val_loss_step,0.0475134514272213
36,1758584845.676524,val_loss_step,0.0523284450173378
37,1758584845.6971097,val_loss_step,0.048108603805303574
38,1758584845.7185936,val_loss_step,0.04943238943815231
39,1758584845.7473257,val_loss_step,0.0533892884850502
40,1758584845.7726128,val_loss_step,0.050195422023534775
41,1758584845.7979496,val_loss_step,0.05144009366631508
42,1758584845.818447,val_loss_step,0.053236376494169235
43,1758584845.8381271,val_loss_step,0.047816116362810135
44,1758584845.857586,val_loss_step,0.05080914869904518
45,1758584845.876847,val_loss_step,0.0488600954413414
46,1758584845.8974576,val_loss_step,0.050356119871139526
47,1758584845.9231248,val_loss_step,0.05300921946763992
48,1758584845.9457552,val_loss_step,0.05116870999336243
49,1758584845.9690313,val_loss_step,0.05251350253820419
50,1758584845.9884017,val_loss_step,0.054163672029972076
51,1758584846.0073535,val_loss_step,0.05113227292895317
52,1758584846.0267968,val_loss_step,0.050440140068531036
53,1758584846.046226,val_loss_step,0.05321592837572098
54,1758584846.0672817,val_loss_step,0.052176233381032944
55,1758584846.0882058,val_loss_step,0.056354593485593796
